poem,subject,score_1,score_2,score_3,score_4,score_5,rt_1,rt_2,rt_3,rt_4,rt_5
147,12,3,3,4,4,4,1732,1916,15132,1585,2594
16,12,5,3,5,4,5,1316,7062,6214,1464,1220
65,12,3,3,5,4,4,2163,1233,1835,10507,1996
92,12,3,3,3,2,2,1362,1154,7783,1466,1718
56,29,8,9,8,8,9,19760,13651,13578,5705,2309
117,29,6,5,5,7,5,874,1181,14107,3195,1039
67,29,8,8,8,8,8,681,5517,878,745,667
40,29,6,6,6,6,6,695,535,3201,854,445
47,40,8,4,4,6,9,1042,16023,3429,3380,606
26,40,9,9,8,8,8,127,300,138,76,140
10,40,9,9,9,9,9,135,244,362,153,177
139,40,9,9,9,9,9,117,98,278,60,129
51,52,6,7,7,7,8,4020,3500,4042,20359,3967
82,52,3,3,3,5,3,1425,1895,1984,12795,3292
105,52,4,3,2,5,2,8889,1700,3309,2038,1372
99,52,5,5,4,5,5,2038,8562,1380,1763,1235
83,54,3,3,3,5,5,22796,12823,2621,8565,7372
103,54,5,5,4,3,4,2870,1680,1547,1616,14553
35,54,3,4,3,3,3,1426,9556,1021,1324,1300
13,54,5,3,4,4,5,1741,13406,1209,1274,1582
148,63,0,0,0,5,0,3231,3350,4309,28350,5890
73,63,7,4,5,6,3,6379,5182,2696,5763,2613
143,63,4,6,4,7,4,3716,2427,4062,8593,1864
123,63,2,0,0,4,1,1564,1630,1492,4779,5327
104,64,7,7,7,6,7,1742,3517,27449,9098,3362
28,64,6,5,6,4,6,966,3250,3440,9142,3606
7,64,7,7,7,7,7,1200,6425,661,818,478
124,65,6,7,2,5,6,5175,4985,11333,3749,3150
136,64,6,6,6,6,6,358,1336,9384,404,652
70,65,6,4,3,7,4,3668,4931,3165,1816,1681
5,68,1,0,1,0,0,6258,12061,1574,1117,1929
111,68,0,0,0,0,0,852,603,1098,2518,1671
8,68,0,0,0,0,0,2404,648,600,1083,878
2,68,1,0,1,1,1,579,646,910,697,2617
81,71,4,6,3,4,4,13542,5637,2275,4298,16802
20,71,0,1,0,0,1,7575,9902,1643,5047,3530
85,71,8,8,8,8,8,22216,1496,1110,1695,1248
47,71,4,4,4,4,4,1146,1128,664,17818,610
76,72,8,6,9,6,8,3791,8055,3416,3706,3282
132,72,7,8,7,8,6,1163,1414,3396,1612,5626
96,72,8,9,8,8,9,3019,7997,2494,2091,2025
139,72,8,7,8,8,8,1557,5162,1168,1096,6906
83,73,0,4,1,3,0,3225,6671,12428,4586,5586
109,76,0,0,0,3,2,2048,24585,5192,4678,2611
70,76,0,0,0,0,0,1522,5331,1594,4370,1447
103,73,4,5,2,3,1,6429,3319,5175,47791,2016
130,76,2,0,0,3,2,8458,2545,4321,1745,1802
114,76,6,6,6,7,7,2875,3933,1842,3038,2582
35,73,3,5,4,5,2,4080,3793,1741,12337,2147
13,73,5,6,4,4,2,3747,1926,1591,6088,1500
80,80,4,3,2,3,4,16236,4252,1781,1662,1684
83,83,2,1,0,3,1,3499,7740,1912,11912,8839
11,80,0,6,3,5,5,2796,3143,6224,2533,6584
103,83,3,1,3,4,1,1565,6996,2975,3790,1381
60,80,3,2,0,2,1,3115,7649,1959,2109,2182
131,80,4,4,2,3,3,652,5896,644,1159,1614
35,83,3,3,4,3,3,1384,1503,11538,1563,1192
108,85,3,4,3,2,3,2333,1365,3683,10064,1815
67,85,2,3,3,3,3,446,1283,515,1231,6054
20,84,5,7,3,6,5,5611,4711,5765,72906,6932
109,85,7,6,6,6,6,1210,7268,516,549,765
120,86,1,6,0,7,0,16456,5457,3097,12652,3193
40,88,2,1,2,2,3,1275,2311,3936,1398,10756
148,86,3,5,0,8,1,2856,2103,3254,16167,2181
49,88,3,1,4,6,4,3099,3222,3157,4477,1642
69,90,6,4,7,9,3,5797,7188,4248,2662,1899
131,84,7,7,5,7,5,2978,5045,4395,46111,2155
42,86,0,0,0,0,0,1897,1245,1348,2495,7051
102,90,9,1,4,4,8,5449,4101,1698,4163,2480
119,91,4,4,3,4,4,34,20,43,20,56
105,91,4,4,4,4,4,87,22,73,44,84
13,86,5,1,1,1,1,3216,1916,1898,2215,9266
32,91,5,4,4,4,4,49,26,88,98,63
32,91,5,4,4,4,4,49,26,88,98,63
87,90,9,6,9,9,7,1913,4598,1614,2248,6824
8,90,7,4,5,7,6,1364,1047,1559,4133,1281
126,92,6,7,7,7,7,84,73,3475,69,89
87,92,8,7,7,8,8,793,34,58,150,17
87,92,8,7,7,8,8,793,34,58,150,17
111,84,4,4,4,5,4,3308,1768,1501,64955,3871
105,94,7,7,8,8,7,28,23,2528,20,29
50,94,7,7,7,7,8,65,43,90,16,97
98,94,6,7,7,7,7,44,15,31,65,101
98,94,6,7,7,7,7,44,15,31,65,101
138,84,5,6,6,7,5,1499,1168,9352,24215,2263
19,97,0,1,2,5,4,10323,41137,14593,23073,5282
82,98,7,2,1,5,3,6638,2050,2788,16807,2885
52,98,8,4,2,5,5,2190,2509,3450,5627,3792
147,98,7,3,2,1,3,8188,1717,3110,2582,2584
65,98,1,3,0,0,2,1934,2029,8566,1775,1664
56,99,6,5,6,5,7,17903,7628,3421,4025,6320
111,99,8,9,7,9,8,2437,5605,2913,3813,13355
95,99,8,6,7,8,6,2236,3410,3501,7003,9473
61,99,6,8,8,8,8,7515,2919,2225,1582,2300
112,103,7,6,7,6,7,24474,8766,7949,2497,4255
57,97,9,9,9,9,9,7849,630614,3707,3930,1729
56,97,7,6,7,7,7,22950,9880,3933,10879,9190
14,97,8,9,8,8,8,3433,3440,12611,8375,2543
24,105,4,4,1,4,2,11266,2352,6695,7158,2571
149,105,4,1,4,3,4,6938,3663,3627,2846,1544
150,105,2,2,2,2,2,2216,1045,818,3819,1030
78,105,3,5,5,5,5,6615,1130,1232,1579,1159
6,103,6,7,6,6,6,3264,5065,2865,462152,3533
72,103,6,7,6,6,7,1908,3663,10305,1098,1613
56,103,6,6,6,6,6,1777,1964,567,5896,1711
103,106,6,6,4,4,4,5687,5390,4878,3279,5662
35,106,5,5,4,6,7,2560,5496,2584,6752,2555
13,106,6,5,5,5,5,2034,1711,1997,3598,1412
30,109,6,6,4,5,4,11205,2795,3658,1864,3876
87,109,3,5,3,3,4,2376,7275,2545,1617,1462
139,109,4,4,4,4,4,1745,1425,1631,1587,26502
56,109,5,4,5,4,4,1178,1597,1484,3576,1382
111,111,6,8,5,5,6,7082,3231,6922,7482,16385
127,111,7,7,7,7,7,1580,1790,1708,2322,15694
135,111,6,6,6,6,7,2375,1448,14532,1414,1376
94,111,7,5,8,7,7,1212,2965,1031,1281,14305
111,112,7,8,7,7,6,2677,8132,8421,12126,13127
127,112,8,7,8,6,9,20396,2759,1882,5239,1461
135,112,7,5,7,6,6,1595,1643,1552,2116,21220
94,112,7,6,7,7,8,1049,1129,1244,7000,1545
132,113,4,0,0,9,2,4416,10373,24022,6581,2823
109,113,9,9,9,9,9,1364,1614,1504,1382,6752
35,113,9,9,9,9,9,925,543,815,11466,1063
76,113,9,9,9,9,8,649,1125,549,531,10510
132,117,4,2,2,3,3,30592,1992,1589,2102,2846
95,117,5,4,4,6,5,1060,1762,1446,1601,3079
94,117,6,6,5,7,6,1180,961,1057,7795,635
115,117,7,6,5,6,5,1204,548,742,3980,819
86,118,9,6,9,9,9,9267,30468,5019,6950,5764
